title,price,types,land,building,bed,bath,floor,certificate,location,secondary_location,url
RUMAH  240 JT DI PRAMBANAN,Rp 240.000.000,,72,30,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I.",,https://www.olx.co.id/item/di-prambanan-jual-rumah-murah-kharisma-land-3-iid-867295127
"Jual Rumah Minimalis, Kavlingan Jl Sidomulyo Utara Pabrik Primisima GK",Rp 375.000.000,Rumah,86,35,2,1,0,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.","Pundong I, Tirtoadi, Mlati, Sleman, Daerah Istimewa Yogyakarta",https://www.olx.co.id/item/rumah-kavling-2-kamar-minimalis-bisa-mezanin-iid-867294983
RUMAH DI JALAN GODEAN TIRTOADI MLATI DALAM CLUSTER DEKAT KAMPUS UNISA,Rp 697.000.000,Rumah,104,45,2,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.","Jl Sidomoyo Mlati Sleman, WA 081392899090. WEB propertijogja.info",https://www.olx.co.id/item/rumah-minimalis-dalam-cluster-di-belakang-kampus-unisa-iid-867290232
rumah dijual dekat lapangan warak jalan purbaya cebongan mlati sleman,Rp 685.125.000,Rumah,118,58,3,2,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",jalan purbaya warak sumberadi mlati sleman,https://www.olx.co.id/item/rumah-etnik-jawa-jalan-purbaya-warak-utara-pasar-cebongan-mlati-iid-867290024
Dijual Apartement Yudhistira FULL Furnish,Rp 600.000.017,Apartemen,34,34,1,1,3,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Palagan km 7,https://www.olx.co.id/item/promo-awal-tahun-2021-harga-apartement-yudhistira-iid-813249521
Pesona Annora Tirtoadi Sleman,Rp 649.000.000,Rumah,139,68,3,2,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",Jl SIdomoyo. WA 081392899090. WEB : propertijogja.info,https://www.olx.co.id/item/rumah-jogja-minimalis-dijual-di-tirtoadi-mlati-sleman-iid-867289564
Cluster Perumahan Pesona Annora Tirtoadi Mlati Sleman,Rp 457.000.000,Rumah,91,45,2,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",Jl. Ring Road Barat Mlati Sleman Yogyakarta,https://www.olx.co.id/item/pesona-annora-tirtoadi-mlati-barat-west-lake-resort-jogja-iid-867287824
Rumah Tanpa Riba di Jogja Bisa request desain rumah,Rp 675.000.000,Rumah,114,45,2,2,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Berbah,https://www.olx.co.id/item/rumah-dijual-gaya-scandinavian-modern-di-berbah-iid-867284034
"Griya Tirta Hutama 3, Dekat SDN Jemblangan, 400jt-an Saja",Rp 445.000.000,Rumah,100,36,2,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.","Tirtoadi, Mlati, Sleman",https://www.olx.co.id/item/harga-ekonomis-tanah-strategis-dekat-sd-n-jemblangan-iid-867280510
Dijual rumah murah di utara kampus PPPG kesenian jl kaliurang km 13,Rp 410.000.000,,60,100,3,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I.",,https://www.olx.co.id/item/mendesak-rumah-dijual-2-lantai-utara-jogyabay-iid-867279543
"Promo ramadhan,sisa 2 unit saja rumah baru desain kekinian di tajem",Rp 1.133.000.000,Rumah,100,115,3,3,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",Tajem maguwo,https://www.olx.co.id/item/2-unit-terakhir-rumah-murah-siap-huni-di-jalan-tajem-maguwoharjo-jogja-iid-861754185
Hunian Siap Bangun Di Jl Pandwoharjo Utara SCH,Rp 486.500.000,Rumah,84,120,4,2,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",Dusun penen jalan mulungan sleman,https://www.olx.co.id/item/rumah-2-lantai-sleman-dekat-sch-bisa-kpr-iid-823610355
Djual rumah siap huni di mlati,Rp 550.000.000,Rumah,108,60,2,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.","Bedingin, Sumberadi, Mlati, Sleman",https://www.olx.co.id/item/rumah-siap-huni-di-cebongan-iid-865985584
Rumah minimalis moderen tropis dijual di sleman jogja yogya yogyakarta,Rp 650.000.000,Rumah,112,90,3,2,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.","Jumeneng Kidul, Sumberadi, Mlati, sleman, Yka",https://www.olx.co.id/item/rumah-dijual-rumah-minimalis-di-mlati-sleman-jogja-yogya-yogyakarta-iid-859476739
Rumah The Paradise Monjali Palagan Perumahan Elite Sekelas Green Hills,Rp 2.700.000.000,Rumah,144,144,4,3,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.","Jalan Palagan Tentara Pelajar 7,8 Telp 081 229 797 000",https://www.olx.co.id/item/rumah-perum-the-paradise-monjali-jalan-palagan-sekelas-green-hills-iid-860841093
Rumah Bale Agung Perumahan Elite Dan Mewah Sekelas Casa Grande,Rp 6.500.000.000,Rumah,463,750,5,4,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",Jalan Kaliurang Km 6 Sleman,https://www.olx.co.id/item/rumah-dekat-ugm-perumbale-agung-residence-bale-hinggil-casa-grande-iid-864702808
"Griya Tirta Hutama 3 Mulai 400an juta, Lok. Mlati",Rp 437.000.000,Rumah,88,45,2,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.","Pundong I, Tirtoadi, Mlati, Sleman, Daerah Istimewa Yogyakarta",https://www.olx.co.id/item/rumah-kavling-griya-tirta-hutama-3-sleman-kota-type-36-harga-murah-iid-867277818
Rumah di Sleman Design Scandinavian,Rp 398.920.500,Rumah,81,36,2,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",5 menit menuju RSU Mitra Sehat,https://www.olx.co.id/item/rumah-scandinavian-jogja-barat-unit-terbatas-iid-859875288
Rumah Super Strategis Termurah Hanya 400Jt-an,Rp 400.000.000,,45,36,3,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I.",,https://www.olx.co.id/item/rumah-super-strategis-cicilan-hanya-3jtbulan-unit-terbatas-iid-867273307
Rumah 2 Lantai dlm Perumahan Griya Taman Asri dkt SCH dan Pemda Sleman,Rp 990.000.000,Rumah,100,140,4,3,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Jalan gito gati Sleman,https://www.olx.co.id/item/rumah-baru-2-lantai-modern-di-dekat-sch-mall-sleman-iid-867269883
"100 meter ke RS Atturots, Rumah Siap Huni Seyegan Hanya 500jt-an",Rp 525.000.011,Rumah,87,36,2,1,1,"Pundong I, Tirtoadi, Mlati","Mlati, Sleman Kab., Yogyakarta D.I.","Pundong I, Tirtoadi, Mlati",https://www.olx.co.id/item/area-seyegan-tanah-kosong-siap-bangun-dibawah-500jt-iid-867266858
[PROMO] 1 Unit Tanah dan Bangunan di Kavling Sedogan,Rp 286.263.000,Rumah,73,36,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Jalan Murangan Triharjo Sleman Yogyakarta,https://www.olx.co.id/item/rumah-kavling-di-sidomoyo-utara-rs-ugm-jl-agrowisata-iid-867265702
RUMAH LIMASAN MODEREN DI PRAMBANAN,Rp 270.000.000,,84,36,2,1,1,,"Mlati, Sleman Kab., Yogyakarta D.I.",,https://www.olx.co.id/item/termurah-rumah-limasan-classicetnik-jogjakarta-di-prambanan-iid-867265461
Grenn Residence Caturharjo termurah dikelasnya,Rp 387.600.000,Rumah,83,40,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Jalan Cemoro Caturharjo Sleman Yogyakarta,https://www.olx.co.id/item/jual-murah-rumah-300jt-an-di-green-residance-caturharjo-iid-867265451
DIJUAL RUMAH 2LT DEKAT HOTEL HYATT LOKASI TEPI JALAN PALAGAN,Rp 2.800.000.000,Rumah,90,250,2,1,3,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.","Kutu Dukuh, Sinduadi, Mlati, Sleman Regency, Special Region of Yogyakarta",https://www.olx.co.id/item/dijual-ruko-3-lantai-tepi-jalan-raya-monjali-iid-867264311
Hunian Dalam Cluster,Rp 2.300.008.900,Rumah,125,139,3,3,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Tentara Pelajar Ngaglik Sleman Yogyakarta Anton 08157657979,https://www.olx.co.id/item/hunian-pastika-palagan-2-dgn-2lt3kt-dkt-kampus-ugm-hyarta-residence-iid-852006639
RUMAH CANTIK FULL FURNISHED JOMBOR,Rp 1.100.000.000,Rumah,125,80,3,2,,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",Mlati,https://www.olx.co.id/item/rumah-cantik-dalam-cluster-dekat-terminal-jombor-sangat-strategis-iid-843361154
"Dijual Rumah Cantik 2 lantai di Puri Khayangan Residence, Yogyakarta",Rp 1.600.000.000,Rumah,186,180,3,2,,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",Cebongan,https://www.olx.co.id/item/rumah-sangat-nyaman-view-cantik-sawah-sejuk-dekat-fasilitas-umum-iid-843849070
Jual rumah barat Kampus UGM popongan sinduadi Mlati Sleman JCM,Rp 1.500.000.000,Rumah,238,180,4,2,,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",Jalan monjali,https://www.olx.co.id/item/rumah-murah-linfkungan-strategis-dan-jyaman-dekat-kampus-ugm-popongan-iid-851692346
Rumah modern gaya Eropa Greenland Persada,Rp 300.000.000,Rumah,63,45,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.","Jl. Tangkisan, Tangkisang Pos, Jogonalan",https://www.olx.co.id/item/konsep-scandinavian-rumah-siap-bangun-di-prambanan-300-juta-an-iid-867261005
Rumah dijual rumah minimalis di mlati sleman jogja yogya yogyakarta,Rp 675.000.000,Rumah,90,60,3,2,0,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",Sayidan Sumberadi Mlati Sleman Yogyakarta,https://www.olx.co.id/item/rumah-minimalis-moderen-tropis-dijual-di-sleman-jogja-yogya-yogyakarta-iid-849985745
"Promo ramadhan,sisa 2 unit saja rumah baru desain kekinian di tajem",Rp 1.133.000.000,Rumah,100,115,3,3,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",Tajem maguwo,https://www.olx.co.id/item/2-unit-terakhir-rumah-murah-siap-huni-di-jalan-tajem-maguwoharjo-jogja-iid-861754185
"Rumah Dekat UGM, UTY",Rp 1.500.000.000,Rumah,126,90,3,2,1,HGB - Hak Guna Bangun,"Mlati, Sleman Kab., Yogyakarta D.I.",JONGKE TENGAH SENDANGADI MLATI SLEMAN,https://www.olx.co.id/item/rmh-palagan-hyatt-jongke-lempongsari-jombor-ugm-jalan-magelang-iid-843304468
Cupuwatu - Yogyakarta,Rp 4.800.000.000,Rumah,262,400,8,7,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Perumahan puri gejayan indah blok c 19 sleman,https://www.olx.co.id/item/sleman-yogyakarta-iid-862536834
RUMAH SIAP BANGUN DEKAT PEMDA DAN PASAR SLEMAN,Rp 540.000.000,Rumah,90,45,2,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",Dekat Pemda Sleman,https://www.olx.co.id/item/rumah-baru-siap-huni-dekat-pemda-sleman-mlati-iid-851643284
Cluster Rumah Baru Di Sleman Barat,Rp 335.000.000,Rumah,105,36,2,1,1,SHM - Sertifikat Hak Milik,"Seyegan, Sleman Kab., Yogyakarta D.I.",Seyegan Sleman,https://www.olx.co.id/item/rumah-baru-promo-seyegan-sleman-iid-859912325
Rumah Mewah Full Furnished Perumahan Lavender Belakang Hyatt Palagan,Rp 2.800.000.000,Rumah,198,146,5,5,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.","Jongke, Sendangadi, Sleman",https://www.olx.co.id/item/rumah-bonus-furniture-dalam-perumahan-dekat-hyatt-palagan-iid-843877583
Rumah Bonus Furniture di Perumahan Elite Grand Mlati,Rp 1.450.000.000,Rumah,143,105,3,2,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.","Grand Mlati, Sendangadi, Sleman",https://www.olx.co.id/item/rumah-modern-minimalis-di-perumahan-elite-grand-mlati-iid-834522083
"Rumah siap bangun di mlati sleman, hanya 200mt dari ring road jombor",Rp 491.526.000,Rumah,90,45,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Jl Godean Km 8 Sidokarto Godean Sleman Yogyakarta,https://www.olx.co.id/item/rumah-muah-modern-dekat-ring-road-barat-iid-867257617
"Rumah Mewah 2 Milyaran Full Furnish dlm Perumahan di Jongke Mlati, SHM",Rp 2.100.000.000,,154,150,4,4,0,,"Mlati, Sleman Kab., Yogyakarta D.I.",,https://www.olx.co.id/item/rumah-mewah-nan-elegan-jongke-mlati-sleman-iid-867256083
"Kost Eksklusif 14 KT kos dekat UGM,UTY, Tugu Jogja, JCM,Jl Magelang",Rp 2.700.000.007,Rumah,323,400,7,9,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.","Jalan Magelang 5,5 Sinduadi Mlati Sleman (Mas Kelik 081229797000)",https://www.olx.co.id/item/dijual-murah-kost-exclusive-homestay-dekat-jcm-tvri-jl-magelang-55-iid-785752861
RUMAH MEWAH DALAM PERUM NANDAN MLATI SLEMAN,Rp 2.800.000.000,Rumah,269,235,5,3,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",Jalan Monjali Sleman (aff),https://www.olx.co.id/item/dijual-rumah-mewah-dekat-ugm-perum-nandan-griya-idaman-iid-813447451
Jual Rumah Strategis Murah di Murangan dekat RSUD Sleman City Hall,Rp 390.000.000,Rumah,106,40,2,1,,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.","Murangan, Triharjo, Sleman, Daerah Istimewa Yogyakarta",https://www.olx.co.id/item/jual-rumah-strategis-murah-di-murangan-dekat-rsud-sleman-city-hall-iid-867247775
Rumah mewah dalam perumahan mlati sleman,Rp 3.700.000.000,Rumah,215,132,5,5,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",Dalam Perum paradise area Mlati Sleman Yogyakarta,https://www.olx.co.id/item/rumah-mewah-full-furnished-dalam-perum-paradise-area-mlati-sleman-iid-867246618
Rumah Murah Dekat Polres Sleman Yogyakarta,Rp 575.000.000,Rumah,100,55,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Dekat Polres Sleman Yogyakarta,https://www.olx.co.id/item/rumah-baru-siap-huni-dekat-polres-sleman-dijual-murah-iid-867246347
Kode RSH 154 # Rumah Mewah Bagus Siap Huni Dalam Perumahan di Sinduadi,Rp 3.500.000.000,,215,132,4,4,0,,"Mlati, Sleman Kab., Yogyakarta D.I.",,https://www.olx.co.id/item/rumah-mewah-dalam-perumahan-mlati-sleman-iid-867245849
Rumah Mewah Luxury Dalam Perum Elite Monjali Barat UGM Dalam Ringroad,Rp 3.499.000.000,,232,170,6,5,0,,"Mlati, Sleman Kab., Yogyakarta D.I.",,https://www.olx.co.id/item/rumah-mewah-luxury-full-furnish-dalam-perum-elite-green-hills-jogja-iid-867245778
Dijual Hunian Mewah Istimewa Full Furnish Jogja Utara,Rp 9.000.000.000,Rumah,1040,600,&gt;10,&gt;10,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",Jalan kaliurang Km 20,https://www.olx.co.id/item/dijual-villa-full-furnish-di-kaliurang-dekat-wisata-cocok-untuk-inves-iid-867245292
"Dijual home stay aktif di Mantrijeron ,cocok untuk investasi",Rp 12.500.000.000,Rumah,836,500,&gt;10,&gt;10,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",Mantrijeron kodya jogja,https://www.olx.co.id/item/dijual-home-stay-aktif-di-mantrijeron-cocok-untuk-investasi-iid-867245172
Murah Rumah Siap Bangun Lingkungan Asri dekat Sungai,Rp 567.990.000,Rumah,100,70,3,2,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Perumahan kadisoko,https://www.olx.co.id/item/rumah-bagus-dlm-perumahan-kadisoko-iid-859803407
Hunian Siap Bangun Di Jl Pandwoharjo Utara SCH,Rp 486.500.000,Rumah,84,120,4,2,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",Dusun penen jalan mulungan sleman,https://www.olx.co.id/item/rumah-2-lantai-sleman-dekat-sch-bisa-kpr-iid-823610355
Cupuwatu - Yogyakarta,Rp 4.800.000.000,Rumah,262,400,8,7,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Perumahan puri gejayan indah blok c 19 sleman,https://www.olx.co.id/item/sleman-yogyakarta-iid-862536834
Rumah Mewah Bonus Furniture dekat Jalan Purbaya,Rp 2.500.000.000,Rumah,126,330,6,3,3,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.","Sumberadi, Kecamatan Mlati, Kabupaten Sleman",https://www.olx.co.id/item/rumah-modern-di-jalan-purbaya-full-furnished-iid-849772254
Dijual Rumah 2 Lantai Harga 1 M di Dekat Bandara Adisucipto,Rp 1.250.000.000,Rumah,107,130,3,2,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Timur Bandara Adisucipto Jogja,https://www.olx.co.id/item/dijual-rumah-semi-villa-fully-furnish-timur-bandara-adisucipto-jogja-iid-865400733
Kode : RSH 3267 #Rumah Cantik Murah Siap Huni di Ngaglik Sleman Yogyak,Rp 625.000.000,Rumah,90,75,3,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Nglempongsari ngaglik sariharjo sleman,https://www.olx.co.id/item/dijual-rumah-di-nglempongsari-ngaglik-sleman-iid-859803620
"RUMAH MEWAH MEGAH DALAM KOMPLEK KAYEN JAKAL KM 6,5",Rp 2.750.000.000,,150,220,4,4,0,,"Mlati, Sleman Kab., Yogyakarta D.I.",,https://www.olx.co.id/item/rumah-cantik-mewah-dan-megah-dalam-perum-jakal-km-75-iid-867244817
"LT238/LB180 Dalam Ringroad Dekat UGM,RS.Sarjito,Hotel Tentrem,Pogung",Rp 1.500.000.000,Rumah,239,159,3,2,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",Pogung Dalam Ringroad Dekat UGM (Telpon/WA: 0819-0404-5055  instagram: @propertymart_jogja) SyHAgr,https://www.olx.co.id/item/tanah-bonus-bangunan-dalam-ringroad-pogung-dekat-ugm-rssarjito-iid-867244639
Rumah mewah dalam komplek perumahan vasana residence Jakal,Rp 2.750.000.000,,138,220,3,4,0,,"Mlati, Sleman Kab., Yogyakarta D.I.",,https://www.olx.co.id/item/rumah-mewah-dalam-perumahan-jakal-km7-iid-867244593
Jual Rumah Siap Huni Di Sleman Type 80/140 Legalitas SHM Siap KPR,Rp 679.000.000,,104,80,3,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I.",,https://www.olx.co.id/item/rumah-siap-huni-full-furniture-di-ngaglik-sleman-iid-867244559
"Hunian pinggir jalan, diskon hingga 20 jt",Rp 335.555.000,Rumah,103,50,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Bangunjiwo kasihan bantul,https://www.olx.co.id/item/rumah-minimalis-plus-furnish-di-bangunjiwo-kasihan-bantul-iid-867238968
Rumah Minimalis Cantik Unit Terakhir dkt Pemda Sleman Yogyakarta,Rp 700.000.000,,100,70,3,2,0,,"Mlati, Sleman Kab., Yogyakarta D.I.",,https://www.olx.co.id/item/kavling-di-mlati-sisa-1-unit-jl-purbaya-siap-huni-iid-867234945
Rumah baru dalam cluster di Jongke belakang Hyatt,Rp 1.890.000.000,,140,158,3,2,0,,"Mlati, Sleman Kab., Yogyakarta D.I.",,https://www.olx.co.id/item/rumah-perum-lavender-jongke-belakang-hotel-hyatt-jl-palagan-iid-867234749
"Rumah 2 lantai dalam perum bumi sentosa ,bonus full furnish",Rp 1.195.000.000,,120,118,3,2,0,,"Mlati, Sleman Kab., Yogyakarta D.I.",,https://www.olx.co.id/item/perum-bumi-santosa-jual-murah-rumah-full-furnish-jalan-iid-867234279
Area Jl. Kaliurang KM 10 Dijual Rumah Minimalis Siap Huni Nego,Rp 699.000.000,,137,65,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I.",,https://www.olx.co.id/item/jual-murah-property-jl-kaliurang-km-9-gentan-legalitas-lengkap-iid-867233756
RUMAH MEWAH DLM PERUM ELITE GREEN HILLS,Rp 3.000.000.000,,232,170,4,4,0,,"Mlati, Sleman Kab., Yogyakarta D.I.",,https://www.olx.co.id/item/rumah-mewah-dlm-perum-elite-green-hills-iid-867233662
"Rumah Murah di JL. Magelang Dekat Pasar Sleman, RSUD Murangan, Pemda",Rp 585.000.000,,109,50,2,1,0,,"Sleman, Sleman Kab., Yogyakarta D.I.",,https://www.olx.co.id/item/area-pasar-sleman-jual-murah-type-50109-strategis-jl-magelang-iid-867233340
"Siap Huni Rumah di Kadisoka Type 55/100, Sisa 2 unit - MS -",Rp 550.011.000,,94,70,3,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I.",,https://www.olx.co.id/item/murah-rumah-dijual-di-kadisoka-siap-huni-desain-mewah-iid-867233210
Dijual Rumah Minimalis Siap Huni di Dekat Jl Kaliurang,Rp 420.000.000,,90,45,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I.",,https://www.olx.co.id/item/dalam-perumahan-jual-rumah-type-4590-di-jl-kaliurang-dekat-uii-iid-867233046
Rumah baru di jln godean km 6.7 dkt ke ringroad barat demak ijo,Rp 640.000.000,Rumah,102,65,3,2,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Jln godean km 7,https://www.olx.co.id/item/rumah-baru-proses-bgn-di-jln-godean-km-7-iid-867231579
"Rumah Mewah Strategis Jakal Km 10 ,5",Rp 2.195.000.000,Rumah,353,110,4,3,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Jl. Kaliurang Km 9 Yogyakarta,https://www.olx.co.id/item/rumah-mewah-include-private-pool-dekat-tengkleng-gajah-jakal-km-9-iid-867230407
Dijual Rumah Siap Huni Harga Ekonomis Hanya 5 Menit dari UII,Rp 830.000.000,Rumah,126,70,2,2,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.","Jl. Kaliurang km 13  Banjarsari, Sleman, Jogja",https://www.olx.co.id/item/rumah-dekat-uii-iid-789565012
Dalam perumahan jln kapten Haryadi palagan sleman,Rp 895.000.000,Rumah,181,80,2,2,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Perum Sleman Permai 1 Tridadi,https://www.olx.co.id/item/istimewa-dijual-cepat-dalam-perumahan-iid-820604358
"Rumah Mewah Strategis Jakal Km 10 ,5",Rp 2.195.000.000,Rumah,353,110,4,3,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Jl. Kaliurang Km 9 Yogyakarta,https://www.olx.co.id/item/rumah-mewah-include-private-pool-dekat-tengkleng-gajah-jakal-km-9-iid-867230407
Dijual kost exclusive bangunan baru luxury 4 lantai dekat UGM,Rp 3.500.000.000,,206,240,4,3,0,,"Mlati, Sleman Kab., Yogyakarta D.I.",,https://www.olx.co.id/item/rumah-mewah-luxury-dalam-perum-elite-monjali-barat-ugm-dalam-ringroad-iid-867226655
